Column1,_1,Cpilot1,Cpilot2,BE1,BE2,BE3,E1,BE4,BE5,OE1,BE6,RG1,RG2,OE2,E2,RG3,BE7,BE8,OE3,OE4,E3,RG4,BE9,OE5,BE10,OE6,BE11,OE7,BE12,RG5,BE13,OE8,OE9,BE14,OE10,OE11,E4,BE15,C001,C002,C003,C004,C005,C006,C007,C008,C009,C10,C011,C012,C013,C014,C015,C016,C017,C018,C019,C020,C021,C022,c023,C024,C025,C026
Trial072,BRAIN_1_PATH_Meningioma ax.png,0.780561583,0.903201956,0.754039744,0.815608594,0.658094727,0.831430235,0.664111579,0.716429762,0.920971076,1.087289055,0.839953056,0.994833356,0.86878594,0.79358531,0.994048513,0.874013322,0.613851205,0.715553843,0.44079428,0.607953091,0.97455635,0.830259792,0.559335453,1.013771767,0.981902179,0.8718261,0.970101047,1.007126514,0.90081488,0.723861721,0.786084004,0.683629389,0.689656423,0.724553197,0.73664273,0.695861158,0.851197972,0.851756831,0.681113813,0.802275934,0.866210468,0.476301757,0.756863494,0.859728589,0.561416036,0.595745606,0.778382106,0.706769397,0.845703561,0.683997968,0,0.813741567,0.996914056,0.882616378,0.724306724,0.768670137,0.729351376,0.660435496,1.063154124,0.290610132,0.743462541,0.822951459,0.602326358
Trial075,BRAIN_2_PATH_Mes tumour.png,0.831461709,0.866420279,0.911407575,0.705926411,0.68962953,0.8232203,0.857048365,0.793728775,0.735839426,0.938016234,0.844059698,1.02885728,0.7871346,0.797307526,0.685888605,0.80795321,0.752785915,0.762841016,0.809721378,0.897724077,0.825419915,0.844330416,0.851576267,0.825208165,0.907221406,0.91363771,0.836851511,0.817199062,0.884112664,0.835521617,0.717018026,0.807362396,0.766134304,0.897656582,0.729295696,0.754793519,0.889560928,0.826470057,0.979288822,0.796964934,0.96146073,0.819941547,0.903717772,0.772839429,0.99135578,0.656292288,0.795015003,0.724050387,0.693209462,0.925604951,0,0.896004778,0.746838621,0.746437983,0.790937064,0.854780245,0.849166659,1.003574418,0.863742808,0.767788473,0.936382511,0.853447443,0.687381324
Trial084,BRAIN_5_PATH_Dural ring.png,0.669642048,0.905235174,0.641405243,0.895174043,0.977549041,0.740376292,0.956395754,0.697867699,0.913306908,1.065192655,0.967700109,0.626047305,0.744608243,0.853456365,1.048473321,0.948900954,0.583995956,0.811463394,0.859691739,0.746472854,0.846217732,0.731229008,0.822051361,0.777354406,0.724635485,0.962400802,0.754135853,1.02709845,0.875701778,0.445478827,0.883593155,1.031214782,0.682073064,0.561675441,0.838365034,0.839258391,0.813022997,0.701408603,0.594490255,0.807415881,0.938879944,0.751419421,0.999940777,0.548977664,0.897500925,0.720920615,0.810918509,0.572473914,0.870143877,0.903260248,0,0.694807934,0.616196356,0.680554603,0.732689062,0.620549473,0.935029879,0.676728259,0.804769779,0.855863204,0.417890813,0.666155438,0.742815476
Trial087,BRAIN_6_PATH_Post surgical pit adenoma.png,0.928731809,1.005387542,0.761322449,0.511659122,0.691218341,0.932295558,0.491193848,0.583312921,0.774721965,0.803161076,0.568675162,0.987536401,0.861670552,0.733645864,0.989109897,1.034798025,0.209541466,0.755641723,0.819658374,0.784047964,0.777830246,0.592269934,0.714622748,0.809171044,0.868779253,0.651727593,0.687763486,0.829708585,0.760682368,0.734111242,0.736783007,0.416464798,0.770412433,0.944380972,0.615027667,0,0.881155942,0.837175221,0.868560789,0.951849932,1.040121108,0.846990333,0.946528252,0.697889002,0.946061249,0.839105111,0.565392334,0.790252414,0.769733681,0.724711065,0.207297643,0.750394951,0.781820768,0.910019936,0.751507087,0.667375788,0.904854038,0.695894121,0.958612857,0.477002109,1.022829382,0.752858698,0.789756291
Trial090,BRAIN_7_PATH_Ax schwannoma.png,0.76667613,0.912280595,0.912765975,0.893878417,0.893209445,1.082640737,0.963661559,0.699396928,0.842332649,0.795186014,0.795658393,0.759784957,0.782297362,0.618185516,0.964319084,0.823906015,0.816574613,0.78662705,0.832067757,0.714052646,0.841806282,0.883043027,0.819594499,0.892006672,0.498376894,0.832275628,0.852653236,0.733864989,0.970092567,0.545747773,0.791223823,0.638085001,0.780341928,0.803204932,0.706132591,0.896422252,0.82545849,0.78409474,0.825106551,0.656027258,0.969320395,0.856799476,0.980501853,0.676708466,0.736267782,0.757030063,0.710028935,0.966370993,0.853174208,0.791300368,1.286203373,0.885641088,0.863174653,0.779894972,0.757180359,0.619596735,0.474695064,0.838835421,0.824146989,0.880479618,0.764064655,0.901477534,0.923827439
Trial093,BRAIN_8_PATH_Cor FLAIR 2 meningiomas.png,0.849706526,0.909238202,0.893908079,0.884790477,0.746719185,0.821074114,0.877490755,0.583451895,0.650493127,0.989794819,0.780290203,0.869990305,0.760111506,0.831634876,0.904123784,0.745521731,0.831613369,0.839209491,0.860982876,0.707768835,0.536954052,0.887612784,0.79614905,0.599743136,0.650708592,0.890315918,0.781936218,0.786695184,0.762103875,0.663810126,0.769198101,0.778178572,0.843732745,0.804425585,0.552820222,0.852808269,0.854438195,0.799315692,0.868655033,0.89719762,0.796945912,0,0.88964578,0.776071545,0.697265889,0.740855384,0.775900789,0.923767274,0.883218347,0.974139989,0.768266449,0.644744522,0.242155764,0.83866781,0.823049152,0.710918459,0.875853946,0.929285219,0.243454431,0.893404801,0.791817603,0.934063537,0.687715413
Trial105,BRAIN_12_PATH_GBM ax.png,0.960496485,1.110768197,0.967085026,0.899812763,0.923017974,0.805353497,1.072606922,0.589638011,0.857943154,0.905417189,0.970333579,1.010674017,0.916424836,0.821679767,0.893208072,0.692787055,0.852570037,0.906510641,0.754358607,0.707514663,0.798134673,0.924454384,0.832609702,0.90841536,0.945190785,0.862608061,0.665731168,0.750891521,0.472992984,0.819875892,0.827817262,0.615655136,0.853702755,0.775126253,0.835118616,0,0.90880585,0.395241185,0.799134256,0.847618934,0.826185832,0.823786669,0.934807311,0.795070377,0.417818633,0.804481342,0.865642164,0.768807385,0.661278326,0.898086782,1.105692077,1.006750904,0.932922387,0.651554494,0.8577275,0.721775933,0.891759995,0.840071614,0.692130796,0.922302439,0.571224565,0.953312602,0
Trial111,BRAIN_14_PATH_CS meningioma.png,0.874583852,0.892031749,0.726773972,0.729121543,0.732755981,0.983373173,0.947371957,0.615317811,0.794903811,0.992606008,0.852507986,0.956754746,0.788423164,0.839375131,0.773739844,0.850296815,0.7026084,0.757202769,0.886021676,0.711587061,0.849175496,0.7080056,0.660681143,0.710374351,0.916662638,0.690632469,0.161878945,0.82697555,0.970092613,0.675466975,0.758478248,0.89787141,0.924291221,0.688130321,0.938374299,0,0.906338484,0.922528739,0.740521811,0.792450735,0.900969464,0.679488821,0.810174142,0.683341174,0.724580117,0.635776172,0.80343526,0.871577537,0.748082404,0.542445496,0.951937376,0.797590092,0.918166722,0.929600532,0.946839915,0.486928913,0.771531465,0.718146447,1.006883037,0.780040165,0.510021327,0.878666397,0.097044005
Trial114,BRAIN_15_PATH_Temporal heamatoma T2.png,0.753800856,0.999106515,0.82277972,0.685727833,1.031475139,0.795904156,0.355205415,0.683451331,0.736069409,1.141233421,1.090406456,0.865602844,0.78276232,0.565764512,0.855915821,0.65083089,0.794999994,0.850473406,0.734184982,0.553042016,0.786628763,0.840886692,0.749454782,0.977587935,0.727818521,0.966825763,0.836869995,0.870134119,0.825703348,1.209349217,0.764396059,0.646514549,0.908975158,1.032236126,1.071220818,0.780934842,0.909725889,0.858564832,0.976774052,0.648282687,0.907435445,0.678865461,0.794096756,0.689120147,0.821399652,0.84296642,0.87865004,0.855415523,0.738831045,1.073405017,0.974867795,0.794463588,0.785870426,0.924084607,0.650168885,0.690801811,0.875067016,0.743473581,0.952440733,0.875898907,0.55677594,0.987842774,0
Trial117,BRAIN_16_PATH_Convexity Meningioma.png,0.754477244,0.616836116,1.038161749,0.893354073,0.927024936,0.912631104,0.709104321,0.571223416,0.872533659,0.723381424,0.751756543,1.018172217,0.804080191,0.96811348,0.863907781,0.85109341,0.770866399,1.046662532,0.913139056,0.834139456,0.847091534,0.810205541,0.729580632,0.850118127,0.758387818,0.876101072,0.834890353,0.662322525,0.823630375,0.788181766,0.823732313,0.981017543,0.739822364,0.738113304,0.934193617,0,0.811937944,0.867877016,0.935539191,0.905227756,0.811541768,0.793804459,0.751240053,0.760116225,0.370463125,0.45369457,0.902625072,0.860259038,0.722899784,0.869786617,0,0.770908093,0.72370092,0.812753459,0.879902232,0.987118228,0.734785833,0.581915781,0.994795184,0.75012721,1.007007348,0.83213575,1.212085963
Trial123,BRAIN_18_PATH_Sag schwannoma.png,1.036957107,0.877743117,0.872847369,0.845923896,1.015913455,0.811691248,0.711818614,0.541889988,0.760792494,0.876101676,0.665172236,0.823447941,0.851851307,0.836359496,0.92716847,0.88665174,0.576247666,0.797699628,0.872375132,0.863486686,0.916341902,1.061110235,0.67736186,0.832594761,0.726671184,0.706863605,0.741875246,0.917457685,0.849240227,0,0.851182795,0.865772644,0.673659586,0.827478831,0.683665863,1.026986481,0.847108592,0.7263728,1.05943648,0.753520059,0.891692938,0.895604023,0.817308379,0.826810128,0.966902686,0.350265463,0.766699417,1.038635714,0.788235632,0.988676783,0,0.828634622,0.951963217,0.698735913,0.933182141,0.785753528,0.480221381,0.885862989,0.936394499,0.695139073,0.780679755,0.939122672,0.470343646
Trial129,BRAIN_20_PATH_Empty Sella.png,0.830553187,0.847095812,0.718337727,0.799271415,0.909223017,0.929423348,0.886867643,0.889405998,0.949277747,0.912534947,0.71174997,0.865391613,0.731833598,0.67957342,0.807606835,0.892406495,0.536024741,0.953401993,0.861981719,0.910134683,0.887612205,0.78361461,1.103196576,0.797658249,0.839967551,0.737417718,0.562199836,0.807136026,1.020088356,0.396232022,0.760809241,0.807488973,0.88840115,0.760112983,0.883796843,0,0.868674994,0.790299096,0.965692158,0.798826679,0.799985507,0.610372885,0.650729103,0.830766817,1.180713858,0.643261698,0.594881465,0.736224142,0.816055569,0.805435877,0.783019996,0.707169567,0.858650664,0.677685278,0.858700163,0.828800952,0.898393201,0.779088599,0.842347725,1.029659302,0.858492535,0.628634995,0.526139963
Trial132,BRAIN_21_PATH_Cor met.png,0.944427228,0.895355682,0.769037633,0.796057105,0.828607941,0.756481404,0.827941109,0.780508765,0.830923279,0.890317027,0.575054901,0.921625827,0.724808236,0.809543562,0.927759634,0.85873265,0.689723415,0.729759222,0.736347708,0.621495465,0.632229418,0.904538459,0.737391202,0.819183468,0.829517877,0.689412538,0.66312832,0.955834177,0.870165766,0,0.779771862,0.683459888,0.591490592,0.827823214,1.11135099,1.019715716,0.808394301,0.612164163,0.75081159,0.857193109,0.907057189,0.668477199,0.939405214,0.492018327,0.859866717,0.397282972,0.958475915,0.775421473,0.817892732,0.812615855,0,0.812972363,0.705645581,0.770708816,0.892926086,0.823878748,0.927195387,0.918387269,1.023874082,0.819074311,0.759353233,0.926620285,0.724782677
