		Cpilot1	Cpilot2	NMQ_1	NMQ_2	NMQ_3	NMQ_4	NMQ_5	NMQ_6	R01	R02	R03	R04	R05	R06	R07	R08 (1)	R09	R10	R11	R12	R13	R14	R15	R16	R17	R18	R20	R21	R22	R23	R24	R25	R26	R28	R29	R30	R31	C001	C002	C003	C004	C005	C006	C007	C008	C009	C10	C011	C012	C013	C014	C015	C016	C017	C018	C019	C020	C021	P22	c023	C024	C025	C026
Trial072	BRAIN_1_PATH_Meningioma ax.png	0.780561583055026	0.9032019558411999	0.7540397437912304	0.8156085943060659	0.6580947268959203	0.8314302345396262	0.6641115787524022	0.7164297618285226	0.9209710755724227	1.0872890549904886	0.8399530564772929	0.9948333564814135	0.8687859396570686	0.7935853096705783	0.9940485132242906	0.8740133216803203	0.6138512046307446	0.715553843467203	0.4407942804517989	0.6079530910280512	0.9745563499338755	0.8302597918375357	0.5593354527143679	1.0137717666678887	0.9819021788013257	0.8718260995798545	0.9701010466411182	1.0071265138824983	0.9008148797183804	0.7238617214866804	0.7860840044333401	0.6836293892631042	0.6896564229926762	0.7245531968697995	0.7366427302986043	0.6958611580567966	0.8511979722940546	0.8517568308506263	0.6811138130895955	0.8022759339410517	0.8662104679998207	0.4763017566135179	0.7568634939939146	0.8597285888861658	0.5614160359046827	0.5957456055683592	0.7783821061285459	0.7067693970848039	0.8457035614986267	0.6839979684279264	0.0	0.813741566667572	0.9969140556979009	0.8826163778439361	0.7243067242900154	0.7686701373419667	0.7293513761330495	0.6604354962631451	1.0631541239722466	0.2906101320896349	0.7434625413292474	0.8229514590974588	0.602326358470126
Trial075	BRAIN_2_PATH_Mes tumour.png	0.8314617093226067	0.8664202791243782	0.9114075751115154	0.7059264109426826	0.689629530365156	0.8232202996968658	0.857048364703325	0.7937287747032921	0.7358394264568846	0.9380162344860753	0.8440596979245111	1.028857279817946	0.7871345999703624	0.7973075260418832	0.6858886051376979	0.8079532095343537	0.7527859146814562	0.762841016411373	0.809721378146769	0.8977240769983419	0.8254199149845267	0.8443304161305968	0.8515762670292124	0.8252081645629888	0.9072214062000652	0.9136377095820772	0.8368515105383653	0.8171990621058365	0.8841126635150804	0.8355216167334536	0.7170180264431141	0.8073623956207685	0.7661343036010924	0.8976565816225803	0.7292956961495874	0.7547935192886598	0.889560927656822	0.826470057020944	0.9792888219070192	0.7969649342050331	0.9614607303355295	0.8199415472369137	0.9037177719354988	0.7728394294233961	0.9913557804222073	0.6562922884734015	0.7950150030237484	0.7240503866311448	0.6932094623769499	0.9256049505157797	0.0	0.8960047783205369	0.7468386207892006	0.7464379831845083	0.7909370638733062	0.8547802447214563	0.8491666592819124	1.0035744180767967	0.8637428078628121	0.76778847278571	0.9363825106700248	0.8534474425178441	0.6873813242713074
Trial084	BRAIN_5_PATH_Dural ring.png	0.6696420479961875	0.9052351739207631	0.6414052425630558	0.8951740430971273	0.9775490411720978	0.7403762924812313	0.9563957544475269	0.6978676993530599	0.9133069078512593	1.0651926547367638	0.9677001088278673	0.6260473050948694	0.744608242872082	0.8534563653641148	1.048473320517979	0.948900954150133	0.5839959563890461	0.8114633944900635	0.8596917388940469	0.7464728541179453	0.8462177316280096	0.73122900844	0.8220513612557665	0.7773544063224072	0.7246354847371552	0.9624008024916821	0.7541358525767289	1.0270984500566027	0.8757017778891163	0.4454788274287488	0.883593154726133	1.0312147819653397	0.6820730638568177	0.5616754414188015	0.8383650337399059	0.8392583913773284	0.8130229967563924	0.7014086027121651	0.5944902549495252	0.8074158805259399	0.9388799440210454	0.7514194209118374	0.9999407771983003	0.5489776639256059	0.897500924571535	0.7209206149456027	0.8109185093108261	0.5724739137137178	0.8701438770343118	0.9032602482074013	0.0	0.6948079341619086	0.6161963559134053	0.6805546034718648	0.7326890620124034	0.6205494729284936	0.9350298794222758	0.6767282591118091	0.8047697791689166	0.8558632044334864	0.4178908125171754	0.6661554377954807	0.7428154761826075
Trial087	BRAIN_6_PATH_Post surgical pit adenoma.png	0.9287318086865051	1.0053875418363352	0.7613224487485515	0.5116591220428184	0.6912183405827669	0.9322955581951158	0.4911938482184773	0.5833129209386639	0.7747219646091342	0.8031610764742274	0.5686751615168514	0.9875364009772578	0.8616705520468163	0.7336458643953372	0.9891098971187923	1.0347980254127813	0.209541465947105	0.7556417229660827	0.8196583742975423	0.784047963549287	0.7778302461693444	0.5922699337263945	0.7146227479126882	0.809171044181547	0.8687792531227123	0.6517275925821249	0.6877634857674497	0.8297085854148069	0.7606823679817307	0.7341112420499956	0.7367830065916019	0.41646479756138227	0.7704124330601786	0.9443809723814783	0.6150276674959554	0.0	0.8811559419295635	0.8371752207859837	0.868560789213474	0.9518499318906439	1.0401211084661486	0.8469903330097275	0.9465282522185496	0.6978890015617264	0.9460612489302703	0.8391051106439217	0.5653923343639213	0.7902524136391296	0.7697336811143729	0.7247110646569269	0.20729764254361935	0.7503949508259655	0.781820767643837	0.9100199364937616	0.7515070871164471	0.6673757884344013	0.9048540383337359	0.6958941212236072	0.9586128567924493	0.4770021085659917	1.022829381814417	0.752858698198283	0.7897562910771793
Trial090	BRAIN_7_PATH_Ax schwannoma.png	0.7666761299451583	0.9122805945492926	0.9127659745647101	0.8938784174928227	0.8932094450173605	1.0826407373072062	0.9636615587126663	0.699396927963325	0.8423326486278007	0.7951860142658085	0.7956583931917804	0.7597849573346354	0.7822973615654438	0.6181855161862017	0.9643190838384009	0.8239060147297785	0.8165746134672458	0.7866270498402255	0.8320677565622049	0.714052646080089	0.8418062815181933	0.883043027241339	0.8195944993069649	0.8920066721505195	0.4983768937784643	0.8322756283666175	0.8526532357182967	0.7338649890221339	0.970092567191053	0.5457477732589858	0.7912238225605356	0.6380850009663627	0.7803419279249089	0.8032049320783324	0.7061325910204501	0.8964222518932301	0.825458489999047	0.7840947402814803	0.8251065510768004	0.6560272580812706	0.9693203947643616	0.8567994762735393	0.9805018529842001	0.6767084661248076	0.7362677819883837	0.7570300628720493	0.7100289349770698	0.9663709930157586	0.8531742081246149	0.7913003684187127	1.286203373490777	0.885641087877693	0.8631746532872445	0.7798949718540621	0.7571803586684874	0.6195967352485086	0.4746950637772364	0.8388354210608541	0.8241469886455413	0.8804796176832822	0.7640646552029942	0.9014775336472289	0.9238274394249074
Trial093	BRAIN_8_PATH_Cor FLAIR 2 meningiomas.png	0.8497065261842295	0.9092382017847833	0.8939080785224195	0.8847904770646018	0.7467191848499125	0.8210741141882564	0.8774907554525802	0.5834518951939478	0.6504931266809758	0.9897948191583339	0.7802902026339014	0.8699903046965454	0.7601115059508683	0.8316348756124609	0.9041237842119252	0.7455217305426388	0.8316133690967382	0.8392094905147773	0.8609828756255137	0.7077688348743133	0.5369540517441327	0.8876127844628328	0.7961490499156244	0.599743136124942	0.650708592148969	0.890315918296264	0.7819362182064937	0.7866951839602723	0.7621038746771237	0.6638101255276352	0.7691981010775604	0.7781785718123339	0.8437327451473733	0.804425585482558	0.5528202216780281	0.8528082689045885	0.8544381945358837	0.7993156921783957	0.868655032630664	0.897197620374166	0.7969459124638233	0.0	0.8896457804633778	0.776071544507713	0.6972658888771466	0.7408553842230545	0.7759007892357407	0.9237672743718776	0.883218347103109	0.9741399889352114	0.7682664494735004	0.6447445223894567	0.24215576419675852	0.8386678098054258	0.8230491517215761	0.7109184592488323	0.875853946270185	0.9292852185607663	0.2434544313550441	0.8934048009832897	0.7918176031393342	0.9340635371078906	0.6877154132949107
Trial105	BRAIN_12_PATH_GBM ax.png	0.9604964849005173	1.1107681968058207	0.9670850259375107	0.899812763014672	0.9230179735030458	0.8053534972081391	1.072606921930489	0.5896380107131503	0.8579431543859595	0.9054171886018368	0.9703335794277375	1.0106740166118333	0.9164248355699096	0.8216797666431145	0.8932080722296323	0.6927870553460816	0.8525700368854632	0.9065106408296664	0.7543586069253915	0.7075146625268944	0.7981346733019749	0.9244543841548519	0.8326097019102161	0.9084153595708313	0.9451907845998412	0.8626080612583623	0.6657311679798726	0.7508915212362565	0.4729929839332704	0.8198758923046606	0.8278172617488335	0.6156551359484091	0.853702755087773	0.7751262531845718	0.8351186162675144	0.0	0.9088058496981997	0.39524118503406386	0.7991342557936202	0.8476189341339954	0.8261858317049112	0.8237866690934288	0.9348073109534941	0.795070376733499	0.41781863331945995	0.8044813417189497	0.8656421643957564	0.7688073849369023	0.6612783261724193	0.8980867822982416	1.1056920766394698	1.006750903920312	0.93292238697004	0.6515544942511529	0.8577275003467767	0.7217759331390495	0.8917599952302818	0.8400716140753557	0.6921307963540685	0.9223024387358008	0.5712245650638297	0.9533126017030734	0.0
Trial111	BRAIN_14_PATH_CS meningioma.png	0.8745838522905474	0.8920317486740034	0.7267739721857932	0.7291215430758086	0.732755981164561	0.9833731731073462	0.947371956655674	0.6153178107861887	0.7949038108823571	0.9926060084945417	0.8525079858987059	0.9567547455669662	0.788423163619066	0.8393751312253108	0.7737398442694339	0.850296815343225	0.7026084004814271	0.7572027691780336	0.8860216761520747	0.7115870607777836	0.8491754955050071	0.7080055997334366	0.6606811430311024	0.7103743507933284	0.9166626376277636	0.6906324692349433	0.16187894452436918	0.8269755500226869	0.9700926132098222	0.6754669746536817	0.7584782479262658	0.8978714096461983	0.9242912211106948	0.6881303209280929	0.9383742989469543	0.0	0.9063384842269459	0.9225287392147883	0.740521810557911	0.7924507350588389	0.9009694635647656	0.6794888211499811	0.8101741417454881	0.6833411742545802	0.7245801174909006	0.6357761719114207	0.8034352596402129	0.871577537481987	0.7480824043892235	0.5424454960021554	0.951937376148337	0.7975900919011136	0.9181667223553864	0.9296005317642894	0.9468399147599267	0.48692891272936994	0.7715314648286173	0.7181464470061287	1.00688303717209	0.7800401645088604	0.510021327487883	0.8786663973890708	0.09704400538240558
Trial114	BRAIN_15_PATH_Temporal heamatoma T2.png	0.7538008562651639	0.9991065150451616	0.8227797204935116	0.6857278333118735	1.0314751386313477	0.7959041558999662	0.35520541492920493	0.6834513306459274	0.7360694093826508	1.1412334213339368	1.0904064561407836	0.8656028435269331	0.7827623197983873	0.565764511602411	0.8559158214446848	0.6508308896372252	0.7949999944301809	0.8504734061318774	0.7341849819589	0.5530420156146681	0.7866287625866129	0.8408866916170314	0.7494547816316639	0.9775879348407606	0.7278185207881251	0.9668257634926746	0.8368699947370872	0.870134118900448	0.8257033477401342	1.2093492172538245	0.7643960587315731	0.6465145487291657	0.9089751580938277	1.0322361259337747	1.0712208179840124	0.7809348415151112	0.9097258890824144	0.8585648321463911	0.9767740520911238	0.6482826873175102	0.9074354449156757	0.6788654611034272	0.7940967562145914	0.6891201465648953	0.8213996519786296	0.8429664195109197	0.8786500399790459	0.8554155232472898	0.7388310445361483	1.0734050174554852	0.9748677951497686	0.7944635876363026	0.7858704258382795	0.9240846068173244	0.6501688846679006	0.6908018108982795	0.875067016087242	0.7434735813827495	0.9524407330529542	0.8758989074025735	0.556775939684928	0.9878427736802948	0.0
Trial117	BRAIN_16_PATH_Convexity Meningioma.png	0.7544772444781008	0.6168361155397257	1.0381617488918877	0.8933540726911957	0.9270249357854211	0.9126311036172733	0.7091043211115136	0.5712234162276824	0.872533659306882	0.7233814237779036	0.7517565427490295	1.0181722171973933	0.804080191386443	0.9681134802997549	0.8639077813614584	0.8510934099108987	0.7708663988090193	1.046662532421505	0.913139055837317	0.8341394556927595	0.8470915337619022	0.8102055414041401	0.729580631906922	0.8501181265730822	0.7583878177748823	0.8761010722378682	0.8348903529775787	0.6623225252199356	0.8236303747380468	0.7881817661789949	0.8237323134479283	0.9810175429715418	0.7398223639053649	0.7381133039746774	0.9341936172311521	0.0	0.8119379439981377	0.8678770159938792	0.9355391909838727	0.9052277559296348	0.8115417676558078	0.7938044588766465	0.7512400528784167	0.7601162251535135	0.3704631249259378	0.4536945703736935	0.9026250723325744	0.8602590382539758	0.7228997835063347	0.8697866167791769	0.0	0.7709080929484922	0.7237009202861256	0.8127534593201554	0.8799022319201291	0.9871182276154057	0.734785832724005	0.581915781161445	0.9947951835146515	0.7501272098513043	1.0070073480416541	0.8321357504888828	1.2120859632915206
