Column1,_1,Cpilot1,Cpilot2,BE1,BE12,BE3,E1,BE4,BE5,OE1,BE6,RG1,RG2,OE2,E2,RG3,BE7,BE8,OE3,OE4,E3,RG4,BE9,OE5,BE10,OE6,BE11,OE7,BE12,RG5,BE13,OE8,OE9,BE14,OE10,OE11,E4,BE15,C001,C002,C003,C004,C005,C006,C007,C008,C009,C10,C011,C012,C013,C014,C015,C016,C017,C018,C019,C020,C021,C022,c023,C024,C025,C026
Trial072,BRAIN_1_PATH_Meningioma ax.png,1.409889869,1.319663548,1.362451232,1.140050557,1.280649737,1.373727735,1.373727512,1.36708044,1.359004723,1.217986703,1.372578855,1.218387827,1.254552975,1.317500706,1.161758853,1.21300911,1.488483993,1.224215313,1.190714313,1.184423639,1.146490599,1.217769341,1.148234248,1.343101976,1.281418636,1.33818171,1.382410224,1.429085851,1.14348851,1.328821553,1.259669521,1.166071228,1.363432704,1.378515641,1.305937453,1.469299124,1.167900567,1.253014979,1.28991842,1.2813931,1.113303446,1.206731854,1.185011632,1.195318196,1.18564369,1.168419481,1.1909607,1.450262885,1.207344877,1.395868114,1,1.41642318,1.120875492,1.240146398,1.267505012,1.20890822,1.254005821,1.151940174,1.411470749,1.306813312,1.253496934,1.177125972,1.565456831
Trial075,BRAIN_2_PATH_Mes tumour.png,1.22125339,1.214635342,1.245101135,1.117065167,1.330342496,1.264809849,1.463289808,1.463188645,1.196428661,1.233311622,1.335612516,1.2828894,1.391318252,1.194549543,1.261832647,1.35793456,1.426248491,1.20904066,1.250106512,1.156996423,1.237020273,1.263104015,1.159457992,1.38993783,1.239893396,1.389190535,1.227983448,1.164425133,1.110659351,1.221325703,1.222680081,1.323220161,1.21334373,1.327905135,1.246351741,1.370993984,1.12479155,1.127328552,1.216006407,1.185987542,1.119161645,1.201806191,1.274679052,1.172608698,1.305262213,1.131628018,1.251757637,1.717375557,1.230923139,1.319061032,1,1.39832951,1.20540413,1.236781784,1.161228075,1.165225729,1.146760389,1.192639321,1.109936348,1.205754777,1.212996869,1.287424688,1.229289319
Trial084,BRAIN_5_PATH_Dural ring.png,1.232584645,1.154028808,1.129920114,1.113200359,1.290161273,1.45846355,1.433753384,1.615914897,1.074468472,1.08394209,1.307857264,1.248816017,1.286533069,1.238602126,1.35570115,1.173556292,1.445350347,1.166181714,1.143724144,1.13783465,1.17770266,1.115662961,1.123666522,1.208285423,1.16173891,1.18185221,1.179435367,1.197340122,1.11545442,1.164192956,1.181487431,1.248486694,1.19441584,1.238722823,1.235240364,1.33273545,1.110585848,1.312370344,1.114936089,1.199745916,1.128694427,1.317468842,1.353144491,1.186511977,1.224602161,1.287194837,1.144189599,1.364454407,1.252774228,1.487483076,1,1.235370903,1.105650562,1.150798587,1.172120803,1.163407431,1.188798844,1.29348158,1.127218601,1.575462421,1.510331175,1.188205037,1.612331808
Trial087,BRAIN_6_PATH_Post surgical pit adenoma.png,1.15555672,1.147119924,1.365852713,1.14942706,1.458623806,1.335294164,1.349212322,1.625217756,1.110021237,1.178052573,1.292492414,1.18830549,1.470787178,1.150204524,1.184861647,1.204731583,1.13651454,1.309154677,1.328667312,1.189796613,1.545052792,1.274866697,1.203817787,1.317264596,1.471507346,1.192379042,1.29826074,1.253038441,1.111057061,1.180256674,1.245193151,1.279242892,1.301213494,1.496292518,1.15381316,1,1.232949747,1.215657603,1.226359117,1.211406591,1.095931142,1.141278581,1.298453666,1.135353333,1.285646624,1.101465043,1.11790713,1.400326895,1.152534926,1.272647162,1.115807933,1.216493409,1.130936074,1.173215215,1.163439966,1.172468956,1.116801705,1.204523454,1.497900985,1.442087195,1.203451866,1.269998977,1.443394181
Trial090,BRAIN_7_PATH_Ax schwannoma.png,1.362947756,1.12520817,1.370051284,1.277090708,1.224980277,1.368829241,1.283934497,1.43931784,1.141980868,1.244734275,1.289809197,1.253188824,1.386251474,1.187247762,1.449269705,1.210140844,1.235811066,1.197500021,1.384287208,1.167308352,1.290187926,1.156277695,1.158694983,1.339528671,1.373846365,1.483594759,1.275761863,1.249885682,1.118539634,1.268362123,1.292345617,1.220633766,1.339273402,1.338020312,1.388289745,1.328214798,1.226098698,1.225760677,1.387828871,1.139249443,1.124871224,1.316600161,1.182159546,1.142434832,1.193378,1.180650814,1.139406687,1.17617817,1.137788954,1.287852429,1.041897179,1.111426992,1.243858632,1.185237313,1.154297542,1.121021145,1.197291575,1.17948569,1.119059734,1.47717833,1.433890318,1.324486776,1.310867057
Trial093,BRAIN_8_PATH_Cor FLAIR 2 meningiomas.png,1.206947788,1.171517475,1.16434096,1.178783344,1.266537291,1.298810561,1.225799619,1.316777897,1.114593967,1.138167292,1.233369757,1.176790625,1.199791519,1.16479427,1.237619502,1.227959534,1.241290283,1.159167681,1.276019518,1.176017954,1.092290877,1.370343585,1.171845173,1.198990299,1.34719082,1.225946541,1.149918155,1.232704273,1.211464073,1.096579732,1.228420302,1.161780391,1.213875711,1.332995165,1.390254787,1.50120883,1.19028771,1.290637423,1.284041429,1.155476271,1.172252344,1,1.487684214,1.405539771,1.159808347,1.126856906,1.173857902,1.515748402,1.100114438,1.341855502,1.224457405,1.161710848,1.162827911,1.183559064,1.177978403,1.159137772,1.217508293,1.360817939,1.0645936,1.342196332,1.341763362,1.298075643,1.621084238
Trial105,BRAIN_12_PATH_GBM ax.png,1.157489148,1.211416352,1.21794067,1.150167622,1.192874253,1.421958081,1.272533134,1.270608443,1.177863993,1.215953493,1.216154258,1.20219221,1.180919959,1.182757257,1.263775587,1.239766385,1.31288395,1.10803289,1.252452958,1.165879336,1.265055167,1.198080059,1.101252937,1.36014147,1.210752288,1.316477816,1.141122015,1.196910746,1.043487848,1.329032815,1.146203079,1.129691624,1.171389931,1.212707046,1.13439225,1,1.178759702,1.13699996,1.306858681,1.24740126,1.104075576,1.157172965,1.19966996,1.112537243,1.186675258,1.204335665,1.137376918,1.395246113,1.230985987,1.156163696,1.067394891,1.170870763,1.17509966,1.147417205,1.19972798,1.111010928,1.227150135,1.167939433,1.115894157,1.278752631,1.308937745,1.192650904,1.177575135
Trial111,BRAIN_14_PATH_CS meningioma.png,1.153965067,1.236529097,1.345171737,1.209532857,1.272453472,1.413745973,1.366910433,1.470730194,1.127837203,1.440165789,1.323113509,1.177489014,1.308241583,1.226653266,1.249411275,1.44400396,1.283267089,1.150755878,1.404233136,1.10739209,1.332934488,1.2844003,1.162753833,1.294930441,1.340616368,1.476344548,1.207214642,1.238837612,1.097934458,1.402806753,1.150764402,1.176906806,1.525576706,1.404007334,1.187814241,1,1.416331488,1.244065648,1.183069221,1.298066678,1.130697763,1.134942659,1.283492843,1.248310417,1.233165296,1.129580049,1.244969038,1.488552154,1.157049037,1.476828524,1.376626407,1.236974868,1.091852346,1.2004914,1.148477967,1.106961075,1.136130745,1.298232391,1.247876009,1.209750641,1.093894116,1.1479057,1.110503589
Trial114,BRAIN_15_PATH_Temporal heamatoma T2.png,1.287390748,1.299006235,1.329268386,1.19982141,1.239074422,1.283727327,1.23309042,1.46005493,1.209809706,1.174593905,1.309568783,1.330508672,1.304724135,1.202267233,1.294462327,1.28762175,1.323842163,1.271785545,1.34348544,1.180109943,1.257085897,1.253651106,1.227666104,1.417616325,1.331795849,1.371426293,1.443197202,1.376228853,1.197274694,1.128023974,1.300310202,1.157037006,1.35750654,1.462083658,1.223345988,1.55155577,1.318430545,1.168539116,1.164123165,1.140575988,1.237500029,1.199653415,1.534050594,1.159444859,1.078436823,1.270991032,1.184056271,1.246225814,1.225111269,1.216205986,1.071112999,1.143608873,1.085879188,1.151791328,1.13727972,1.212692948,1.145024784,1.216423723,1.334327975,1.296691796,1.198365094,1.133049432,1.073255733
Trial117,BRAIN_16_PATH_Convexity Meningioma.png,1.222186566,1.25304233,1.12632192,1.140710605,1.254794366,1.442435435,1.119870709,1.348920394,1.109396459,1.228148658,1.156887326,1.167597438,1.167763974,1.230192311,1.154839659,1.179304888,1.29370979,1.200818005,1.037569134,1.160150125,1.192734642,1.164589771,1.205595101,1.250237604,1.271197255,1.319825665,1.286164146,1.169425797,1.224977558,1.17347947,1.18560679,1.099844084,1.125981306,1.214080075,1.361423811,1,1.178818664,1.230000104,1.326313711,1.146856585,1.186625388,1.135305424,1.220957593,1.152943108,1.107313012,1.232748629,1.117276165,1.416966054,1.199531013,1.175013546,1,1.210648363,1.170041402,1.108057818,1.176455468,1.161420638,1.183951307,1.296025307,1.151879405,1.149605272,1.216734133,1.392206804,1.209595708
