		Cpilot1	Cpilot2	NMQ_1	NMQ_2	NMQ_3	NMQ_4	NMQ_5	NMQ_6	R01	R02	R03	R04	R05	R06	R07	R08 (1)	R09	R10	R11	R12	R13	R14	R15	R16	R17	R18	R20	R21	R22	R23	R24	R25	R26	R28	R29	R30	R31	C001	C002	C003	C004	C005	C006	C007	C008	C009	C10	C011	C012	C013	C014	C015	C016	C017	C018	C019	C020	C021	P22	c023	C024	C025	C026
Trial072	BRAIN_1_PATH_Meningioma ax.png	1.3161752729187077	1.1839943903379262	1.2282877300034718	1.230607752854925	1.3276650190606563	1.412810038391648	1.249896643813943	1.4195961606419258	1.1812526494939974	1.1597001833162903	1.272991458430248	1.1694218239071448	1.2935964623917593	1.2042799757416236	1.247837776439986	1.2683889127778447	1.2147429487128474	1.1808043170410971	1.2094727565571621	1.2050023093707962	1.2560004141704448	1.2511224150483096	1.2004213278720772	1.2647716783497798	1.3335922044039215	1.2642955034087944	1.1841805389851716	1.269197110178767	1.1894700700392706	1.2431431183017367	1.2968287086224857	1.378672458301914	1.1874827198755995	1.3652565596426651	1.1737298603152069	1.362197422191495	1.1889186128379519	1.265813709490592	1.2780513310947301	1.2001782714284401	1.3030092115001437	1.280341263966966	1.242659452624179	1.2307169053131237	1.1798418590513164	1.2096649741952838	1.250668072382021	1.5318721138959075	1.2248538628435421	1.5058416441718974	1.161960357645916	1.3144662369963152	1.1804089576143921	1.2331989630753024	1.2709698901471378	1.1857299475902894	1.354761879456619	1.2338947713977464	1.2039310881170755	1.258704345560934	1.2500326221219473	1.2063919420542228	1.351231418869858
Trial075	BRAIN_2_PATH_Mes tumour.png	1.199267038349403	1.2881585239848505	1.2092659169671967	1.259130077873749	1.2484202523316084	1.2825306561004217	1.3170433660682859	1.551892283913446	1.31098456174372	1.2405667528979836	1.2640852455758296	1.2249690365950887	1.4231805709156449	1.210386032795286	1.2390944692880528	1.2261509311618697	1.416424153401617	1.1900346056580047	1.3048876962506286	1.2108415355627535	1.2150979259711527	1.24662405965282	1.2366344041635677	1.4019427090028462	1.2667071950658517	1.3332570413226543	1.194148964361021	1.2678966368863476	1.345791594360514	1.2432116576831331	1.2633140101647027	1.339935566292562	1.2768915949384034	1.264131992411684	1.2862461588133036	1.203238722593306	1.2022355883951459	1.2645679687591191	1.1750318684295684	1.2184861157797917	1.2170522586541834	1.2393705685087197	1.3301104955281198	1.2514082865948988	1.1710864363600717	1.221951711570754	1.2665972492386488	1.758874241329232	1.2301567963775213	1.2694364742627802	1.2316281611160784	1.2892968054254852	1.225516638812267	1.1770495975630777	1.241038616718886	1.2474669083993897	1.2575366400399073	1.271277435519766	1.1627346590673855	1.3057426563160077	1.2244472353382239	1.3392763417336513	1.3069966370888695
Trial084	BRAIN_5_PATH_Dural ring.png	1.2176464825575963	1.177829735562544	1.193172877293027	1.1873761256764395	1.1714502024334876	1.3367429678543046	1.262076654081968	1.4428807161586354	1.2397258006567708	1.136881170435308	1.25640024913072	1.1174710031976194	1.2399429523901717	1.1580729370267608	1.257642125438871	1.2432715034307216	1.318180820924643	1.1765539002391145	1.2619164305094395	1.2006997599218965	1.221265263668816	1.1362489863848646	1.2548866930035796	1.2801176186158987	1.2212124080335327	1.2496773873585785	1.1549595063555966	1.198584407264557	1.1980572537069594	1.2214629580536966	1.2417084102181248	1.1725542498403916	1.1933825766050778	1.2450586120893619	1.2827117893718067	1.3058419428986958	1.1571512072303207	1.2442817017973677	1.2212809886984843	1.2493240646759027	1.1745789622777243	1.3199198088462645	1.2379218392201943	1.1933679107659412	1.1524994459828704	1.2382785786763586	1.2070866284391404	1.4989431230121715	1.223754605252056	1.3034743478155242	1.1638592440244988	1.2321869179234526	1.2302020082244005	1.153302928560689	1.2088655423255172	1.2272898524888323	1.2236963543447281	1.324560062080254	1.176089254905565	1.6948786838125893	1.4240696675053193	1.3267238688884475	1.6410507457825254
Trial087	BRAIN_6_PATH_Post surgical pit adenoma.png	1.2144565676185421	1.230940373566525	1.2004730222358533	1.276037087028852	1.2165515615213485	1.263438634007327	1.2315610610863903	1.358036982441913	1.2414911490138985	1.1561932463692919	1.2656302854070316	1.138735079294106	1.4059064548158715	1.194430236210251	1.1543974430590063	1.2256152297056504	1.2572676509977583	1.2035377681679091	1.295544378299748	1.1731938930229175	1.2676727960471728	1.2388418304558015	1.2366738447667158	1.2727346506480033	1.2230286696396424	1.2576155393587216	1.379304780987234	1.2835563254709585	1.2099173470943416	1.2904273080739557	1.2521683629538514	1.211829769636334	1.2088003427663656	1.2333991664797908	1.2695833032716752	1.1414011269780802	1.2294918506284394	1.2117588380614353	1.2959374305965685	1.164589299505724	1.099273621846063	1.211144131560854	1.2458853988995702	1.1478425214725507	1.1712027805444707	1.2783323211424074	1.269435769385886	1.5091106217902683	1.2090092934283696	1.2367758682640417	1.2082585757353057	1.2092930107937223	1.1860419813517082	1.1856118307430885	1.2552505317392675	1.1688099389040711	1.1990736561356372	1.2033315153739859	1.2496147037448253	1.599807768717438	1.4641472118782288	1.2908440109244852	1.3566121037122059
Trial090	BRAIN_7_PATH_Ax schwannoma.png	1.191513778626086	1.1823280348123741	1.233887664378233	1.1643254997913188	1.1885849271835014	1.3465311650558878	1.2893666700592186	1.4576305139193433	1.2632201076078133	1.2178754563742735	1.171686306580336	1.1725127835444982	1.315687388398889	1.2498499824531208	1.2854562829267961	1.1777108552866127	1.1567255777809142	1.1777820047598602	1.2153867116718275	1.222291965368683	1.1647661369778044	1.2038858781086685	1.1757152671119444	1.2680139635748786	1.1948277988251728	1.2885733060955535	1.2461984698065731	1.202450248784999	1.1738359626280421	1.231080704127857	1.2275243086529424	1.2467876413564556	1.2537411101286517	1.2486990918767975	1.2146662844697698	1.2311196495276195	1.188049708014589	1.2329064677800583	1.2414136756813605	1.1497290875063815	1.189469954594618	1.268999968514824	1.4051570990399893	1.268707039238977	1.1331696281303543	1.2512325636982715	1.2418525030734033	1.3307941601261941	1.1811625221843731	1.2464340386719663	1.168745304692934	1.2186602572436789	1.1837455435378148	1.1836195408110457	1.2722066284693956	1.2740732454475934	1.24062215446803	1.2655342163461252	1.1910717585647235	1.221509731069216	1.648807940406652	1.176270499014285	1.4165388349248604
Trial093	BRAIN_8_PATH_Cor FLAIR 2 meningiomas.png	1.2458301220883905	1.232128287983223	1.2330068958289246	1.2560060905117134	1.169283253749854	1.2609508764598267	1.2648448469196625	1.3480001988419044	1.231436834412925	1.3428500597947473	1.2442325010534505	1.1485553217179232	1.2907770207630942	1.1825758933101442	1.2208772312134575	1.318248282998475	1.432850189914569	1.236493294738896	1.3032063840630932	1.2216636606845814	1.1852010038513308	1.2084393422487254	1.2047553930622423	1.381457546308614	1.2145041642282348	1.3253945245360035	1.1696421764270446	1.2246238727299767	1.2340874071794292	1.2452074105475077	1.295486492122429	1.2341993406194023	1.2621223396350185	1.253735189106277	1.2385348438745791	1.3362873229745453	1.1480964989261118	1.2329270897364066	1.2528649035712178	1.2418264326144903	1.1557388497825318	1.127909964728852	1.2722880097748337	1.2109763102205382	1.1198395503323706	1.1083358987733178	1.2259444166682756	1.5691706838458852	1.262911366888347	1.218000920489864	1.1393929739037905	1.2630585402468948	1.1409195940603065	1.1462655855848123	1.3112888647279786	1.2730210833013686	1.1964803985951382	1.2063669133938264	1.2516090204641035	1.3357588321387703	1.211554425705001	1.3418790116936021	1.1442671174972279
Trial105	BRAIN_12_PATH_GBM ax.png	1.2054607050359178	1.2459610557841319	1.2051561680478777	1.146518865402477	1.1647370171208276	1.310337772783204	1.290248242950974	1.324339227343466	1.236759571535196	1.1503113068925672	1.2141910753068048	1.1886218996083202	1.289196327612089	1.1989542290066457	1.1490833139354737	1.1982361479796046	1.2610551400147423	1.1984358109651627	1.3349830986868096	1.20284035250741	1.2048967261325274	1.2397314275798266	1.256292220833939	1.2875912749075014	1.2190619479672844	1.2926141094673647	1.2164188071606326	1.1841194124063708	1.224110062020417	1.2485551452804247	1.2519666809080277	1.246311652461343	1.164914571941712	1.2257278442427333	1.2582662407853409	1.0	1.2090661043844388	1.2938468431330343	1.2132794130580895	1.2566300739693959	1.1390163788059136	1.3424936930717102	1.243444782478285	1.1865100261941683	1.1589977495611965	1.2047141384916404	1.3100132364917896	1.6042518358884807	1.275481192800617	1.2574196665026331	1.02505500969157	1.2471345974038714	1.1752977058689014	1.3045075783999656	1.2098689030558136	1.19256610504356	1.2981841899299202	1.2338846839805035	1.1786121506582374	1.2473900467397983	1.3238503115624563	1.1276096827967266	1.0078886238116884
Trial111	BRAIN_14_PATH_CS meningioma.png	1.287438555035495	1.2403999699450736	1.2845626983005263	1.2313952070420775	1.217226114743309	1.296163484590946	1.4025341930916218	1.366931840580326	1.3061869534326267	1.2670379519571904	1.3263961642167987	1.1704886101549767	1.5188610446007984	1.3272618195905037	1.1989883699351964	1.2072620444800084	1.379955927194202	1.222919394353123	1.3530161348484453	1.2757109122488142	1.3420997405058543	1.291948385863286	1.2117208517698894	1.3059202081710337	1.3409629523905908	1.3704445011638184	1.3107940752302996	1.2685360017006617	1.3125144165733702	1.2610527987554785	1.3501046859328625	1.3314673079011257	1.3616693693363155	1.3399091615930847	1.2431842858603797	1.2646045761360494	1.2134173268843922	1.3086883469365813	1.410255951726653	1.2520271799627165	1.184057799502773	1.29796448170573	1.2212713420258732	1.2156752533550619	1.1504388571822965	1.2629360969291323	1.2622083496724588	1.4581190448717805	1.1891475299158971	1.2819907367994288	1.20743351660613	1.3300734584598477	1.1625083244181946	1.2524642193449878	1.2397629315371634	1.258839353936844	1.1566740839390492	1.2625665880051666	1.1366833844472146	1.2820616747628444	1.2381096064547783	1.2939279308924256	1.1105035894896171
Trial114	BRAIN_15_PATH_Temporal heamatoma T2.png	1.2337152190128609	1.2324821614700854	1.2729688965484272	1.2720537008765462	1.3182165613366272	1.5258997339010163	1.2759519448445962	1.4642699787294329	1.2807622796411868	1.2040611621359463	1.3021448185963143	1.3902907321734521	1.255484701003245	1.2475071429213964	1.2661655654844675	1.3084088587535052	1.5154389186446415	1.251559131212199	1.2832193271948493	1.2918744900834875	1.2163108543303613	1.2662394449761647	1.1426532395660967	1.4054518637369473	1.3104535945330538	1.3255810806355468	1.1730478001077376	1.2626216565548303	1.2255796451995857	1.2374755241152908	1.2859118737408475	1.2536023254019075	1.2605137869683938	1.4601139442282234	1.2310394785231544	1.3378755962214068	1.253732646764035	1.2669848207525654	1.2784036060991015	1.2824277433588207	1.2758238598120148	1.2275138857125831	1.31062541354466	1.1854776146165587	1.1911870981173516	1.2609699160898513	1.2187787933924366	1.4077888633261386	1.281283621169204	1.3004302391222184	1.2698522603030042	1.372033070594925	1.2866746960571271	1.2952712787765563	1.3024475660783388	1.1972668887439406	1.280203162822481	1.2561140515447256	1.2220494398404695	1.2592491696763433	1.4162184140012473	1.2862772516353551	1.405348350385277
Trial117	BRAIN_16_PATH_Convexity Meningioma.png	1.2287673324021726	1.2570035802972042	1.2703592928062284	1.2329251307901261	1.184961472599057	1.3922504870330972	1.2988230505859888	1.3066756793625731	1.2004910980610244	1.1868806525383289	1.229219411203045	1.208643451262799	1.206826705641377	1.1729164106578076	1.1077979450860065	1.2173912293932263	1.4151648222975544	1.1887588193276855	1.1787426857481593	1.3118660458736584	1.212025096942345	1.233111385624282	1.2077620067010764	1.2384937058004788	1.2315686588887493	1.254429194199065	1.2361213881040916	1.2063468306762422	1.2006351134993345	1.2623460359896395	1.2366884720733595	1.2905773537224665	1.1770230334740157	1.269149064754636	1.380932161996506	1.2697259695297796	1.143766076221259	1.28619257903384	1.4169730091394706	1.2130034080780923	1.1984217322632342	1.3118471629008481	1.241022118945514	1.1829060857351645	1.1517345785956967	1.3067510661833142	1.2842309489991548	1.4982414132272905	1.234664809227018	1.3598878060031558	1.1972890338960176	1.2962587619551698	1.1703429838900465	1.1754219219451085	1.2250917561473211	1.1831283289385668	1.3247991281250509	1.2907579227251298	1.2263474181051512	1.2257767095968128	1.3499321813623275	1.3256169821056871	1.317202534554391
