Column1,_1,Cpilot1,Cpilot2,BE1,BE2,BE3,E1,BE4,BE5,OE1,BE6,RG1,RG2,OE2,E2,RG3,BE7,BE8,OE3,OE4,E3,RG4,BE9,OE5,BE10,OE6,BE11,OE7,BE12,RG5,BE13,OE8,OE9,BE14,OE10,OE11,E4,BE15,C001,C002,C003,C004,C005,C006,C007,C008,C009,C10,C011,C012,C013,C014,C015,C016,C017,C018,C019,C020,C021,C022,c023,C024,C025,C026
Trial072,BRAIN_1_PATH_Meningioma ax.png,0.743783368,0.673511563,0.729049772,0.559512825,0.66042932,0.710430973,0.683678952,0.616932168,0.731751625,0.560042252,0.613828477,0.648234191,0.659306717,0.559360246,0.67761691,0.608433048,0.903190688,0.577684301,0.563416279,0.484998904,0.457244916,0.585178447,0.392865858,0.479067583,0.602586287,0.689696385,0.715395285,0.756083448,0.475777842,0.767394906,0.720701017,0.404204938,0.700704136,0.688695241,0.459852841,0.846909973,0.427429459,0.533035411,0.622541743,0.771828751,0.431741839,0.323096376,0.527199414,0.388209791,0.59207614,0.474238984,0.540746558,0.857542647,0.435636704,0.599755416,0,0.586742124,0.449661322,0.486399076,0.413644984,0.641678926,0.634917271,0.440069027,0.58201092,0.337085987,0.489169428,0.570771951,0.92110119
Trial075,BRAIN_2_PATH_Mes tumour.png,0.49449339,0.617484276,0.608712798,0.346933974,0.513712748,0.643674328,0.625635449,0.756422991,0.440490614,0.568038532,0.441450392,0.694672168,0.638111608,0.549389313,0.428699465,0.478831381,0.809626254,0.542082417,0.586228566,0.479418745,0.428313134,0.557825792,0.488208278,0.704160714,0.616794182,0.746382781,0.594162378,0.418193664,0.406781184,0.556259542,0.459562249,0.769597313,0.563096384,0.681455161,0.556353018,0.839668671,0.537564049,0.506320357,0.604752044,0.597048707,0.512963774,0.517370422,0.537850635,0.468468874,0.678618055,0.32571807,0.561265604,0.877223934,0.516657302,0.624145517,0,0.749255185,0.497409488,0.426574253,0.49707609,0.436803236,0.568087429,0.436245976,0.369795768,0.413385138,0.665162654,0.55970804,0.612202416
Trial084,BRAIN_5_PATH_Dural ring.png,0.404384972,0.487765709,0.511974918,0.395894412,0.674642864,0.807340546,0.72625522,0.719761196,0.37497283,0.555694899,0.448409876,0.64823696,0.546649745,0.458825087,0.714632917,0.57703927,0.879438209,0.566558954,0.545820693,0.565349424,0.561565556,0.59768141,0.471393943,0.593192068,0.463071891,0.56314785,0.442462529,0.48627878,0.491660109,0.61439968,0.620937714,0.580119303,0.554183107,0.594640976,0.578730091,0.832617114,0.481176518,0.497254249,0.28392249,0.874176595,0.26013924,0.467621298,0.684186121,0.513048962,0.476034292,0.478646001,0.526352456,0.749071931,0.466209552,0.713264784,0,0.49315749,0.245236597,0.412654584,0.448508876,0.545215396,0.571364925,0.649800031,0.578195728,0.808152463,0.784421542,0.379230448,0.903718192
Trial087,BRAIN_6_PATH_Post surgical pit adenoma.png,0.519846403,0.573532217,0.857853922,0.404784953,0.738060833,0.712107178,0.72221432,0.912434767,0.500145483,0.349514384,0.338465864,0.480152759,0.719142091,0.47224078,0.554620676,0.680586772,0.661679532,0.490658775,0.630308715,0.559730885,0.862545448,0.451871788,0.430925763,0.688751841,0.830563968,0.677542299,0.456012327,0.445778991,0.318106946,0.486450812,0.688361045,0.716218043,0.637794601,0.756822134,0.259022241,0,0.500138757,0.520540656,0.51190094,0.678251759,0.564893045,0.449371549,0.589782397,0.412450236,0.39929633,0.256423979,0.36676628,0.724050701,0.458695849,0.535257512,0,0.533210099,0.602647285,0.483374364,0.399406976,0.472360848,0.398444935,0.481509946,0.785002094,0.414825027,0.291145781,0.56893858,0.783408781
Trial090,BRAIN_7_PATH_Ax schwannoma.png,0.728313242,0.544576301,0.845534035,0.486404969,0.49712023,0.582099077,0.742281884,0.844678937,0.375750402,0.605607633,0.436416087,0.588099124,0.604518353,0.385895363,0.837752354,0.546850827,0.798408031,0.449221683,0.75403859,0.463844724,0.522295307,0.566971218,0.4778112,0.653617969,0.566641331,0.769658922,0.647432685,0.522010236,0.490989817,0.264039559,0.699604112,0.597438267,0.58383487,0.707296911,0.726540001,0.55289016,0.497328261,0.58944145,0.566495343,0.51303203,0.501347014,0.568233803,0.444968105,0.400612668,0.454507296,0.397660567,0.521691964,0.620165671,0.474749228,0.577409378,0,0.464588867,0.589255917,0.472960963,0.490255424,0.496937434,0.454604855,0.361100801,0.390118214,0.658535842,0.898246255,0.71793696,0.750927108
Trial093,BRAIN_8_PATH_Cor FLAIR 2 meningiomas.png,0.383959968,0.66757344,0.502521489,0.466000621,0.425747055,0.806412251,0.594584497,0.668054052,0.401998898,0.555163117,0.464427793,0.516707094,0.481527091,0.475653679,0.555672439,0.502491965,0.767901237,0.488411164,0.636338392,0.486035643,0.360661952,0.673478739,0.503899711,0.613470034,0.578472047,0.575196171,0.549156354,0.540957087,0.460288709,0,0.691376973,0.550535606,0.512460677,0.622190205,0.53489275,0.721877566,0.550818301,0.63720824,0.570076589,0.500669523,0.497102107,0,0.799283431,0.510591057,0.400260454,0.562517197,0.489775574,0.835127127,0.478370512,0.689983376,0,0.248523939,0.42170075,0.470894171,0.443934486,0.54437124,0.53614826,0.699360729,0.251102315,0.409290041,0.398744545,0.788378113,0
Trial105,BRAIN_12_PATH_GBM ax.png,0.292604449,0.511364982,0.55333238,0.539105585,0.469785023,0.781026311,0.430190353,0,0.54542785,0.509546158,0.482092924,0.582226777,0.531268936,0.525751835,0.550232372,0.50982822,0.739425693,0.50345554,0.506033665,0.474150189,0.484241685,0.54665469,0.440604801,0.663105198,0.472448489,0.598078448,0.491596216,0.395069696,0.239414528,0.579902281,0.540240564,0.568121603,0.461010547,0.59279447,0.446884692,0,0.544402866,0.334469304,0.639016654,0.831000536,0.474553036,0.361060109,0.628808584,0.45501126,0.524274556,0.573269826,0.518271914,0.717539383,0.44773028,0.46120276,0,0.452075703,0.588434736,0.305248262,0.435676905,0.355833271,0.560890417,0.507784866,0.387371884,0.341005893,0.386770281,0.563848699,0
Trial111,BRAIN_14_PATH_CS meningioma.png,0.457607113,0.533392119,0.693741616,0.426594949,0.573144938,0.687033038,0.761238772,0.687342727,0.480152535,0.737414574,0.472280212,0.566974474,0.626521646,0.604095909,0.491173973,0.689439878,0.680974489,0.408418209,0.799827962,0,0.530137264,0.52236651,0.483214049,0.685578364,0.730404267,0.724765678,0.470975056,0.633639592,0.44632118,0.676978663,0.610903429,0.546515415,0.804142694,0.653701319,0.548512376,0,0.62906885,0.458836349,0.53604598,0.493338671,0.508241602,0.320546036,0.481131477,0.379581844,0.290777016,0.373213351,0.529943517,0.69751616,0.480907697,0.872491548,0,0.438081535,0.436232743,0.45765031,0.359234137,0,0.556408272,0.47816339,0.62505628,0.368310325,0.353985969,0.582576574,0
Trial114,BRAIN_15_PATH_Temporal heamatoma T2.png,0.435389346,0.606051251,0.728941575,0.393444882,0.650679675,0.662962423,0.538505238,0.783155436,0.431215989,0.281761885,0.338676488,0.502616356,0.782421419,0.406884712,0.606558652,0.524606349,0.826846846,0.448373028,0.566443442,0.467405182,0.444629771,0.613648701,0.486926433,0.695331103,0.59797058,0.661742822,0.7129045,0.62966803,0.534741502,0,0.62353268,0.416521789,0.696658867,0.689148006,0.570485362,0.892008973,0.600031055,0.481793172,0.44152394,0.353714692,0.632761687,0.368008452,0.848792014,0.414676955,0.370637371,0.607247494,0.541302038,0.613873395,0.496951312,0.484975109,0,0.38037213,0.329030406,0.444662917,0.196572197,0.446959479,0.471109809,0.460821789,0.537867512,0.647253005,0.436165102,0.575993862,0
Trial117,BRAIN_16_PATH_Convexity Meningioma.png,0.40279011,0.63019327,0.512215478,0.381096769,0.58553782,0.820319396,0.378928106,0,0.506760428,0.565106684,0.493999669,0.502322719,0.444303531,0.528378716,0.464036041,0.529329536,0.662531892,0.481636684,0.52174496,0.458881163,0.511361504,0.535557301,0.588191811,0.521166503,0.521066144,0.569283058,0.503208642,0.465816775,0.61876646,0.422775266,0.684659022,0.559913541,0.461349679,0.607883355,0.681516913,0,0.520371125,0.542779124,0.634121766,0.664572914,0.452777464,0.514234033,0.382479834,0.503437459,0.263237579,0.49737934,0.504641402,0.750001642,0.496668375,0.454698992,0,0.359454478,0.45269633,0.373667107,0.460866069,0.478301143,0.540788226,0.300075379,0.482145964,0.380492566,0.47761648,0.739930601,0
