Column1,_1,Cpilot1,Cpilot2,BE1,BE2,BE3,E1,BE4,BE5,OE1,BE6,RG1,RG2,OE2,E2,RG3,BE7,BE8,OE3,OE4,E3,RG4,BE9,OE5,BE10,OE6,BE11,OE7,BE12,RG5,BE13,OE8,OE9,BE14,OE10,OE11,E4,BE15,C001,C002,C003,C004,C005,C006,C007,C008,C009,C10,C011,C012,C013,C014,C015,C016,C017,C018,C019,C020,C021,P22,c023,C024,C025,C026
Trial072,BRAIN_1_PATH_Meningioma ax.png,0.602447849,0.674883683,0.673445564,0.59808931,0.662709954,0.720491981,0.644286971,0.758301228,0.621518989,0.538144746,0.613555061,0.62570181,0.663000268,0.606775386,0.616694566,0.663655693,0.593097508,0.616182062,0.547969166,0.608428415,0.595398901,0.598161659,0.569959388,0.630825516,0.582247425,0.699166216,0.647930408,0.635476155,0.562400235,0.583336195,0.763725922,0.601395436,0.647493874,0.767081664,0.550366822,0.637457569,0.554840845,0.579615094,0.68304543,0.636497994,0.632328496,0.559624095,0.613642654,0.568797446,0.583672268,0.556682515,0.689864806,0.784998811,0.615198063,0.684303604,0.573286335,0.550542857,0.563821122,0.57240297,0.563657544,0.562110614,0.592186215,0.583630014,0.567569876,0.582701251,0.585100471,0.610732359,0.716737747
Trial075,BRAIN_2_PATH_Mes tumour.png,0.557580442,0.677336636,0.67762841,0.560975089,0.624009713,0.654173095,0.652548952,0.768437117,0.601602596,0.659023005,0.564380086,0.635156672,0.678239703,0.627207252,0.619529455,0.61976521,0.851940747,0.606883503,0.668060856,0.623594429,0.592028936,0.603804914,0.611903635,0.759785401,0.646380354,0.705986808,0.628602391,0.61006445,0.647149361,0.607742686,0.599126888,0.690434095,0.638686702,0.729852658,0.695765673,0.520980686,0.582553178,0.625775683,0.603904883,0.648966074,0.582966379,0.53705738,0.603416623,0.6085337,0.545200462,0.541229795,0.65494136,0.87980133,0.597995625,0.637752699,0.57053511,0.633762151,0.578718577,0.602206317,0.580019694,0.587089265,0.603414177,0.519658626,0.461947555,0.54785366,0.627148354,0.679922398,0.660882646
Trial084,BRAIN_5_PATH_Dural ring.png,0.532648081,0.604644786,0.610744576,0.54877244,0.612959294,0.721577466,0.656490905,0.79067061,0.585034548,0.648610953,0.615562955,0.5178,0.652452844,0.617692932,0.603366046,0.654174721,0.688348717,0.644314414,0.682019601,0.655179835,0.565536086,0.604387864,0.631208871,0.683607606,0.583463879,0.665648639,0.653604361,0.600994254,0.61637916,0.553727637,0.668744495,0.623287668,0.603693302,0.695365308,0.653771639,0.683340644,0.57902484,0.576348983,0.591953236,0.616678643,0.587557986,0.651390967,0.605061483,0.550984006,0.561557112,0.524018922,0.589374436,0.743024145,0.605042173,0.616878605,0.504874339,0.562477327,0.5364484,0.569438063,0.574913393,0.522806222,0.60508878,0.667496205,0.411206756,0.79367348,0.764930207,0.572552068,0.896700883
Trial087,BRAIN_6_PATH_Post surgical pit adenoma.png,0.569027546,0.663916237,0.709917437,0.561625665,0.58077029,0.651010669,0.62179733,0.677495852,0.583299347,0.634124935,0.514757332,0.632064348,0.761490694,0.585905744,0.651938862,0.625213525,0.696901541,0.567848406,0.687768719,0.623847341,0.561057573,0.60792545,0.628076292,0.725124602,0.603113825,0.692594359,0.644946693,0.604248758,0.553373709,0.699678368,0.66651355,0.679631887,0.580242738,0.708170363,0.518639295,0.543708011,0.594024337,0.542506979,0.613681708,0.609777986,0.468376996,0.572892044,0.545031694,0.507209531,0.491952542,0.500266325,0.631112059,0.830719482,0.517619765,0.590356694,0.523552498,0.572680764,0.604995827,0.581401148,0.543031069,0.588831945,0.597261439,0.593478033,0.606576074,0.725402619,0.65369409,0.718772592,0.790778337
Trial090,BRAIN_7_PATH_Ax schwannoma.png,0.613756106,0.64474048,0.671314685,0.581942159,0.587509441,0.581801339,0.582781465,0.859242118,0.569812708,0.657936522,0.561075357,0.661340873,0.692518059,0.574118302,0.666683447,0.643103404,0.641345863,0.618284354,0.646264361,0.625817768,0.575688365,0.635917135,0.619957643,0.710020941,0.580287289,0.716877751,0.683192168,0.562978599,0.635759211,0.587703035,0.748526575,0.730735095,0.628801895,0.71295405,0.681327269,0.636969834,0.609428177,0.570059155,0.616891063,0.575870865,0.621879572,0.592519936,0.671236322,0.590148344,0.57090362,0.572157633,0.677643787,0.73916007,0.616595545,0.587401611,0.415061435,0.588752654,0.573666231,0.581560135,0.567360217,0.608879685,0.589739005,0.559012284,0.538461169,0.576846595,0.80440594,0.597167749,0.787990766
Trial093,BRAIN_8_PATH_Cor FLAIR 2 meningiomas.png,0.523084473,0.664117098,0.649089807,0.543611924,0.532336204,0.648484854,0.591307133,0.685157188,0.592148149,0.646402388,0.572482959,0.643644018,0.615861898,0.567655276,0.611968566,0.650225365,0.826637222,0.598983732,0.690812365,0.626603103,0.538756134,0.65946957,0.626111016,0.724150698,0.623762172,0.660058476,0.606334673,0.561027221,0.539667645,0.555928706,0.755914302,0.65887873,0.63329646,0.682944298,0.570903182,0.714492957,0.593946968,0.595240297,0.573343345,0.53952077,0.585918184,0.697848448,0.730175446,0.54043408,0.556370361,0.526551532,0.648358026,0.798181007,0.661834156,0.567974361,0.412217381,0.533145887,0.538926574,0.522299174,0.57846432,0.65848076,0.607365672,0.608651284,0.482819431,0.607511675,0.472724618,0.742957492,0.385843152
Trial105,BRAIN_12_PATH_GBM ax.png,0.54816197,0.62342582,0.643775168,0.615221475,0.597286489,0.683756844,0.617930376,0.712447326,0.618688683,0.650224176,0.554393168,0.644701708,0.653831911,0.581306858,0.471582549,0.651232831,0.73991988,0.609503123,0.650436357,0.612503035,0.616136314,0.62815527,0.569751025,0.680073606,0.617003066,0.726889876,0.630145702,0.53507779,0.452848212,0.574522693,0.648557521,0.66831558,0.589868709,0.711515423,0.606546227,0,0.630765625,0.511044741,0.644922081,0.659980122,0.624705604,0.577075988,0.613906193,0.594443942,0.558883782,0.572414904,0.724239182,0.810721022,0.62194847,0.637325462,0,0.55390073,0.602764283,0.541627452,0.53204494,0.535715113,0.666120727,0.589633163,0.538709803,0.596412589,0.595059972,0.51489731,0
Trial111,BRAIN_14_PATH_CS meningioma.png,0.550937227,0.678398862,0.718773937,0.57771753,0.615249141,0.58492249,0.703842322,0.69930162,0.593587588,0.693635422,0.507137067,0.585595491,0.798767349,0.611048328,0.420730385,0.665788699,0.804295647,0.571379452,0.66705418,0.586219033,0.55906922,0.667699364,0.61828852,0.691587205,0.69540471,0.729182109,0.658027623,0.630359248,0.689858865,0.598244393,0.736695598,0.665018162,0.789897767,0.690402308,0.64413842,0,0.570133105,0.600492056,0.601650124,0.607996268,0.574855019,0.556546907,0.492133464,0.521478768,0.519931363,0.57976355,0.645116025,0.708622162,0.629883332,0.706076612,0.51039529,0.564209457,0.561253577,0.61855223,0.555835366,0.541099514,0.592119944,0.599135521,0.429885373,0.543320578,0.534141146,0.696343248,0
Trial114,BRAIN_15_PATH_Temporal heamatoma T2.png,0.551642698,0.638389179,0.724251245,0.560566283,0.624794995,0.725380462,0.566098912,0.787942234,0.559971154,0.633627192,0.569616546,0.613211505,0.676147168,0.596215676,0.622566729,0.623016334,0.85643166,0.580863311,0.642532511,0.621557745,0.576853248,0.601394549,0.553045144,0.733623521,0.706813553,0.726839323,0.661252771,0.634102023,0.715211261,0.623860212,0.625230506,0.574576609,0.599653227,0.729446992,0.610592146,0.605595256,0.63137033,0.562398836,0.609465515,0.615070251,0.54944857,0.529706263,0.591830296,0.42766314,0.559635046,0.605081714,0.6247699,0.719522428,0.64100927,0.633432306,0.556980343,0.558685234,0.537571697,0.614989817,0.479558001,0.566983591,0.571269036,0.623900442,0.56070352,0.598678306,0.650358365,0.657164177,0.814089957
Trial117,BRAIN_16_PATH_Convexity Meningioma.png,0.557247892,0.682054029,0.661808398,0.564127172,0.644034051,0.677083981,0.54540134,0.656828157,0.604944528,0.629728302,0.571120052,0.611996377,0.589926534,0.559790371,0.448814264,0.632102023,0.795616261,0.455394465,0.505691722,0.578764447,0.482018405,0.608395883,0.645257611,0.666923023,0.602163599,0.709623571,0.638960991,0.566098606,0.619926212,0.574163615,0.668931556,0.636981591,0.606724353,0.698909376,0.685365879,0.783847694,0.524415109,0.616945933,0.606925075,0.596408604,0.512901572,0.572840954,0.56507795,0.673151606,0.5197431,0.574326696,0.651625349,0.761373665,0.580879957,0.616697984,0.572247823,0.599863348,0.550251503,0.574326306,0.570547486,0.530317241,0.643460535,0.522848014,0.516677956,0.566948051,0.619890605,0.730292319,0.615592591
